#block	written	holding	exposure	total credit balance	total stablecoin balance
13958	10025322148	10025322148	0.00	63792921564201.00	63792921564201.00
14025	10209327026	10209327026	0.00	63779598036862.00	63779598036862.00
14059	10286331104	10286331104	0.00	63760494786029.00	63760494786029.00
14093	10319335258	10319335258	0.00	63735099380740.00	63735099380740.00
14125	10493337733	10493337733	0.00	63719591298288.00	63719591298288.00
14192	10626344108	10626344108	0.00	63689473865784.00	63689473865784.00
14231	10870350024	10870350024	0.00	63694391313327.00	63694391313327.00
14269	11138357947	11138357947	0.00	63717026919011.00	63717026919011.00
14306	11469360313	11469360313	0.00	63724777869685.00	63724777869685.00
14374	11499362985	11499362985	0.00	63676175843254.00	63676175843254.00
14410	11623365384	11623365384	0.00	63638006245347.00	63638006245347.00
14444	11727370534	11727370534	0.00	63583592973036.00	63583592973036.00
14480	11796377581	11796377581	0.00	63561148200462.00	63561148200462.00
14547	12124382605	12124382605	0.00	63624174975279.00	63624174975279.00
14579	12205387813	12205387813	0.00	63618702739830.00	63618702739830.00
14613	12370389874	12370389874	0.00	63598596313489.00	63598596313489.00
14645	12475393732	12475393732	0.00	63589236824459.00	63589236824459.00
14713	12655396467	12655396467	0.00	63506014073777.00	63506014073777.00
14747	12747401719	12747401719	0.00	63490798155211.00	63490798155211.00
14783	12929405343	12929405343	0.00	63465146209058.00	63465146209058.00
14822	13090409208	13090409208	0.00	63416605152625.00	63416605152625.00
14889	13216413567	13216413567	0.00	63359082456886.00	63359082456886.00
14925	13203420738	13203420738	0.00	63341405174409.00	63341405174409.00
14960	13204425776	13204425776	0.00	63305363292443.00	63305363292443.00
14992	13273428106	13273428106	0.00	63283342274179.00	63283342274179.00
15059	13464433501	13464433501	0.00	63297790026154.00	63297790026154.00
15094	13578436060	13578436060	0.00	63291362894545.00	63291362894545.00
15128	13741441641	13741441641	0.00	63296584728315.00	63296584728315.00
15162	13835444935	13835444935	0.00	63304522969684.00	63304522969684.00
15229	14019447656	14019447656	0.00	63292214263928.00	63292214263928.00
15266	14231450969	14231450969	0.00	63336596704420.00	63336596704420.00
15300	14234457362	14234457362	0.00	63312567125133.00	63312567125133.00
15334	14351459912	14351459912	0.00	63307682671199.00	63307682671199.00
15402	15044463823	15044463823	0.00	63376141522655.00	63376141522655.00
15436	15463472395	15463472395	0.00	63439561483199.00	63439561483199.00
15472	16326477002	16326477002	0.00	63556395881776.00	63556395881776.00
15503	16831480580	16831480580	0.00	63587016835088.00	63587016835088.00
15566	17262484803	17262484803	0.00	63604989986389.00	63604989986389.00
15599	18014487412	18014487412	0.00	63672316193141.00	63672316193141.00
15629	18289491110	18289491110	0.00	63676516276379.00	63676516276379.00
15663	18719495765	18719495765	0.00	63722106643892.00	63722106643892.00
15724	19733498943	19733498943	0.00	63811154823816.00	63811154823816.00
15963	19819505835	19819505835	0.00	63817669965208.00	63817669965208.00
15997	9831206719	9831206719	0.00	63878517254072.00	63878517254072.00
16107	9831212884	9831212884	0.00	63878517254072.00	63878517254072.00
16173	26013759	26013759	0.00	63856885254641.00	63856885254641.00
