#block	written	holding	exposure	total credit balance	total stablecoin balance
10148	0	0	0.00	20624960840895.00	20624960840895.00
10203	537	537	0.00	30318990886203.00	30318990886203.00
10285	1001890	1001890	0.00	39409857035187.00	39409857035187.00
10410	14003542	14003542	0.00	44696864711540.00	44696864711540.00
10499	40007990	40007990	0.00	50259360843891.00	50259360843891.00
10534	73009508	73009508	0.00	54634087527624.00	54634087527624.00
10596	99011723	99011723	0.00	58281741312261.00	58281741312261.00
10633	113016505	113016505	0.00	58669131901071.00	58669131901071.00
10671	137019341	137019341	0.00	60647907860706.00	60647907860706.00
10712	143023464	143023464	0.00	61562608918527.00	61562608918527.00
10781	192028643	192028643	0.00	63418063417819.00	63418063417819.00
10819	237032119	237032119	0.00	63348979326303.00	63348979326303.00
10857	351037886	351037886	0.00	63970253189824.00	63970253189824.00
10893	434042525	434042525	0.00	64106164925349.00	64106164925349.00
10958	473046433	473046433	0.00	64272674137925.00	64272674137925.00
10991	574049245	574049245	0.00	64372904752609.00	64372904752609.00
11025	704054002	704054002	0.00	64364560619790.00	64364560619790.00
11061	782059772	782059772	0.00	64604691905370.00	64604691905370.00
11125	863063447	863063447	0.00	65022852735279.00	65022852735279.00
11157	1011065236	1011065236	0.00	64999018684912.00	64999018684912.00
11191	1067068790	1067068790	0.00	64980633789583.00	64980633789583.00
11222	1109074656	1109074656	0.00	64936532379337.00	64936532379337.00
11293	1186080116	1186080116	0.00	64870279412119.00	64870279412119.00
11333	1264085305	1264085305	0.00	64864322305646.00	64864322305646.00
11371	1362088421	1362088421	0.00	64840710695098.00	64840710695098.00
11410	1454089499	1454089499	0.00	64733810720997.00	64733810720997.00
11481	1619094128	1619094128	0.00	64687352749986.00	64687352749986.00
11522	1778101254	1778101254	0.00	64683766475921.00	64683766475921.00
11561	1980105483	1980105483	0.00	64669451388606.00	64669451388606.00
11600	2126106446	2126106446	0.00	64666665515568.00	64666665515568.00
11671	2275108992	2275108992	0.00	64661301161404.00	64661301161404.00
11711	2515113503	2515113503	0.00	64663068042445.00	64663068042445.00
11752	2677118522	2677118522	0.00	64627846922019.00	64627846922019.00
11791	2941124623	2941124623	0.00	64646510429452.00	64646510429452.00
11861	3198128180	3198128180	0.00	64689040540598.00	64689040540598.00
11900	3270133541	3270133541	0.00	64674584280937.00	64674584280937.00
11938	3464139231	3464139231	0.00	64654269446509.00	64654269446509.00
11976	3673142945	3673142945	0.00	64635260521924.00	64635260521924.00
12046	3721145237	3721145237	0.00	64599156454695.00	64599156454695.00
12086	3775148186	3775148186	0.00	64557072806981.00	64557072806981.00
12125	3864151166	3864151166	0.00	64547484650326.00	64547484650326.00
12163	3954155165	3954155165	0.00	64475512801783.00	64475512801783.00
12233	4083160820	4083160820	0.00	64452771146820.00	64452771146820.00
12272	4282166290	4282166290	0.00	64457272075423.00	64457272075423.00
12311	4476171867	4476171867	0.00	64473906676601.00	64473906676601.00
12349	4771174359	4771174359	0.00	64493366209253.00	64493366209253.00
12419	4958179494	4958179494	0.00	64480876899215.00	64480876899215.00
12458	5148184122	5148184122	0.00	64481132135518.00	64481132135518.00
12497	5275189733	5275189733	0.00	64447691344528.00	64447691344528.00
12534	5521194470	5521194470	0.00	64439704874352.00	64439704874352.00
12604	5610198371	5610198371	0.00	64421330034437.00	64421330034437.00
12644	5773201887	5773201887	0.00	64394957807438.00	64394957807438.00
12684	5856207856	5856207856	0.00	64364836467122.00	64364836467122.00
12723	5911214445	5911214445	0.00	64340747093218.00	64340747093218.00
12790	6164218591	6164218591	0.00	64357103905632.00	64357103905632.00
12830	6492223189	6492223189	0.00	64336644857516.00	64336644857516.00
12867	6630227255	6630227255	0.00	64290644715839.00	64290644715839.00
12903	6764230482	6764230482	0.00	64261923609359.00	64261923609359.00
12970	6869235456	6869235456	0.00	64259394978569.00	64259394978569.00
13005	6902238017	6902238017	0.00	64229172266958.00	64229172266958.00
13045	6999241862	6999241862	0.00	64188487400190.00	64188487400190.00
13084	7087246207	7087246207	0.00	64159757561408.00	64159757561408.00
13151	7206248724	7206248724	0.00	64097200128657.00	64097200128657.00
13190	7293251177	7293251177	0.00	64075906527711.00	64075906527711.00
13224	7379256769	7379256769	0.00	64066110208407.00	64066110208407.00
13259	7476260367	7476260367	0.00	64028513033722.00	64028513033722.00
13324	7682265176	7682265176	0.00	64034159231867.00	64034159231867.00
13362	7988268358	7988268358	0.00	64022045255315.00	64022045255315.00
13396	8099272513	8099272513	0.00	63997515129856.00	63997515129856.00
13433	8299276274	8299276274	0.00	63960514973282.00	63960514973282.00
13503	8455280402	8455280402	0.00	63930455801679.00	63930455801679.00
13541	8572283718	8572283718	0.00	63910124106425.00	63910124106425.00
13579	8635288588	8635288588	0.00	63862651257442.00	63862651257442.00
13614	8915292095	8915292095	0.00	63875215920578.00	63875215920578.00
13680	9065296501	9065296501	0.00	63870807686621.00	63870807686621.00
13716	9090302467	9090302467	0.00	63826625760861.00	63826625760861.00
13750	9249305622	9249305622	0.00	63824802080988.00	63824802080988.00
13785	9331308058	9331308058	0.00	63802863155638.00	63802863155638.00
13852	9581312409	9581312409	0.00	63790515521027.00	63790515521027.00
13888	9742313688	9742313688	0.00	63773507555650.00	63773507555650.00
13922	9960318255	9960318255	0.00	63810832731437.00	63810832731437.00
