#block	written	holding	exposure	total CB	total SB	total debt
10397	38715124946	39003169150	0.00	7609911675001.00	7609911675001.00	0.00
10431	38715124946	39003169150	0.00	7603819888693.00	7603819888693.00	0.00
10467	38715124946	39003169150	0.00	7594013017983.00	7594013017983.00	0.00
10526	38827124946	39115169150	0.00	7584938285671.00	7584938285671.00	0.00
10562	38827124946	39115169150	0.00	7576637262134.00	7576637262134.00	0.00
10597	38827124946	39115169150	0.00	7570830268985.00	7570830268985.00	0.00
10636	38827124946	39115169150	0.00	7561945397751.00	7561945397751.00	0.00
10695	38827124946	39115169150	0.00	7551963542177.00	7551963542177.00	0.00
10732	38843124946	39131169150	0.00	7548849216886.00	7548849216886.00	0.00
10769	38843124946	39131169150	0.00	7542701456305.00	7542701456305.00	0.00
10808	38843124946	39131169150	0.00	7535188942889.00	7535188942889.00	0.00
10869	38843124946	39131169150	0.00	7523822045504.00	7523822045504.00	0.00
10909	38843124946	39131169150	0.00	7516940052116.00	7516940052116.00	0.00
10946	38843124946	39131169150	0.00	7507615893364.00	7507615893364.00	0.00
10982	38843124946	39131169150	0.00	7499696129148.00	7499696129148.00	0.00
11040	38843124946	39131169150	0.00	7495319381261.00	7495319381261.00	0.00
11076	38843124946	39131169150	0.00	7486334736618.00	7486334736618.00	0.00
11113	38843124946	39131169150	0.00	7473890996732.00	7473890996732.00	0.00
11150	38843124946	39131169150	0.00	7468480956616.00	7468480956616.00	0.00
11205	38843124946	39131169150	0.00	7462625844101.00	7462625844101.00	0.00
11288	38850124946	39138169150	0.00	7462625844101.00	7462625844101.00	0.00
11314	18297684962	18297684962	0.00	7462180414372.00	7462180414372.00	0.00
11333	18297684962	18297684962	0.00	7681586099240.00	7681586099240.00	0.00
11356	289000000	289000000	0.00	8952725517716.00	8952725517716.00	0.00
11386	753000000	753000000	0.00	9048174027503.00	9048174027503.00	0.00
11404	464000000	464000000	0.00	10656301210275.00	10656301210275.00	0.00
11430	464000000	464000000	0.00	12054212191845.00	12054212191845.00	0.00
11475	882000000	882000000	0.00	13170472650374.00	13170472650374.00	0.00
11499	2094000000	2094000000	0.00	14329407531502.00	14329407531502.00	0.00
11528	2727000000	2727000000	0.00	15226551003775.00	15226551003775.00	0.00
