#block	written	holding	exposure	total CB	total SB	total debt
166	0	0	0.00	227141594598999987322880.00	227141594598999987322880.00	0.00
197	0	0	0.00	502048188768611739893760.00	502048188769000031780864.00	0.00
211	0	0	0.00	703339761903610168868864.00	703339761904999993442304.00	0.00
230	0	0	0.00	911914730852607707840512.00	911914730855000004624384.00	0.00
245	7404213269745215488	7404213269745215488	0.00	982645744579655201980416.00	982645744585000020344832.00	0.00
288	7404213269745215488	7404213269745215488	0.00	1121713129287893668331520.00	1121713129296000016449536.00	0.00
312	16551037059911920986	19511792687937363968	0.00	1465112049919093081374720.00	1465112049928000038240256.00	0.00
331	22394488129573756250	25355243757599199232	0.00	1743925396503295093112832.00	1743925396513000108589056.00	0.00
379	29590741500169736538	32551497128195179520	0.00	1780813320432853226356736.00	1780813320446000121249792.00	0.00
394	34010105428470925146	36970861056496368128	0.00	1771053891292050738905088.00	1771053891309999944105984.00	0.00
404	34010105428470925146	36970861056496368128	0.00	1762761637969510426214400.00	1762761637988999914061824.00	0.00
414	38447306618420167002	41408062246445609984	0.00	1754555915891516100313088.00	1754555915913000063598592.00	0.00
457	41858787415759106650	44819543043784549632	0.00	1749892601707454101716992.00	1749892601733000030322688.00	0.00
463	41858787415759106650	44819543043784549632	0.00	1739766126884443291385856.00	1739766126912999992066048.00	0.00
472	62016397109558754906	64977152737584197888	0.00	1733571411230124752764928.00	1733571411260000008404992.00	0.00
481	69939639130226106202	72900394758251549184	0.00	1722177642165624572477440.00	1722177642198000035954688.00	0.00
519	69939639130226106202	72900394758251549184	0.00	1718839996929246192730112.00	1718839996964999916421120.00	0.00
530	112000524742911682394	114961280370937125376	0.00	1717863289790934781263872.00	1717863289829999924740096.00	0.00
542	128717520319536199642	131678275947561642624	0.00	1717265597668833236090880.00	1717265597709999960752128.00	0.00
555	160687880510306777050	163648636138332220032	0.00	1715662163873527345709056.00	1715662163916999930937344.00	0.00
592	160687880510306777050	163648636138332220032	0.00	1713560117180387718856704.00	1713560117226000003104768.00	0.00
598	161937954733372457690	164898710361397900672	0.00	1710559789134686216781824.00	1710559789180999922876416.00	0.00
607	161937954733372457690	164898710361397900672	0.00	1708703173644356876763136.00	1708703173693000065744896.00	0.00
613	161937954733372457690	164898710361397900672	0.00	1708677103636491960057856.00	1708677103686000048078848.00	0.00
651	174325540473616638682	177286296101642081664	0.00	1708079972737874088951808.00	1708079972789000037466112.00	0.00
660	219847343661784751834	222808099289810194816	0.00	1704975050520565645312000.00	1704975050573999870312448.00	0.00
666	219847343661784751834	222808099289810194816	0.00	1702188890538930830573568.00	1702188890595000018010112.00	0.00
672	219847343661784751834	222808099289810194816	0.00	1699459647765530107969536.00	1699459647823999913689088.00	0.00
710	219847343661784751834	222808099289810194816	0.00	1697429701736410113900544.00	1697429701797000022851584.00	0.00
717	226953591650988890842	229914347279014333824	0.00	1697429012391564140347392.00	1697429012452999889420288.00	0.00
727	226953591650988890842	229914347279014333824	0.00	1696612228717581126598656.00	1696612228781000076820480.00	0.00
737	232029502341396287194	234990257969421730176	0.00	1696091331156356922081280.00	1696091331222000128491520.00	0.00
771	232029502341396287194	234990257969421730176	0.00	1695921877472060792373248.00	1695921877539000005165056.00	0.00
775	232029502341396287194	234990257969421730176	0.00	1695061482504063436193792.00	1695061482573000077213696.00	0.00
781	232029502341396287194	234990257969421730176	0.00	1694491215311531589763072.00	1694491215381000001421312.00	0.00
784	232029502341396287194	234990257969421730176	0.00	1694456120164141068451840.00	1694456120234999975772160.00	0.00
817	232029502341396287194	234990257969421730176	0.00	1693956463441101923024896.00	1693956463512999943995392.00	0.00
822	232029502341396287194	234990257969421730176	0.00	1693890696583695090843648.00	1693890696656000059965440.00	0.00
825	232029502341396287194	234990257969421730176	0.00	1691403603148444054585344.00	1691403603221000010858496.00	0.00
838	233457300982706083802	236418056610731526784	0.00	1689464351918721438056448.00	1689464351993999866724352.00	0.00
847	233457300982706083802	236418056610731526784	0.00	1688375592849375458492416.00	1688375592927000013045760.00	0.00
854	234538145088459917914	237498900716485360896	0.00	1686599965643247370371072.00	1686599965721999890710528.00	0.00
886	234538145088459917914	237498900716485360896	0.00	1686585107153983096487936.00	1686585107233999947825152.00	0.00
891	234538145088459917914	237498900716485360896	0.00	1684481363229359090958336.00	1684481363310999976804352.00	0.00
897	234538145088459917914	237498900716485360896	0.00	1680905567796867324968960.00	1680905567882000019226624.00	0.00
904	234538145088459917914	237498900716485360896	0.00	1680082433044035833692160.00	1680082433131000063066112.00	0.00
942	234538145088459917914	237498900716485360896	0.00	1679364356430694730170368.00	1679364356519999985156096.00	0.00
947	234538145088459917914	237498900716485360896	0.00	1679319778710446307016704.00	1679319778800000133234688.00	0.00
955	234538145088459917914	237498900716485360896	0.00	1677327537311298101444608.00	1677327537402999948181504.00	0.00
973	234538145088459917914	237498900716485360896	0.00	1677070499683703187308544.00	1677070499775999887015936.00	0.00
981	237721492853193236058	240682248481218679040	0.00	1676989048104351833260032.00	1676989048196999914979328.00	0.00
1017	237721492853193236058	240682248481218679040	0.00	1676278183706486150004736.00	1676278183799999936069632.00	0.00
1030	237721492853193236058	240682248481218679040	0.00	1675295751710786092793856.00	1675295751807000071110656.00	0.00
1035	237721492853193236058	240682248481218679040	0.00	1675048824094221339197440.00	1675048824191000105713664.00	0.00
1040	237721492853193236058	240682248481218679040	0.00	1674979170804776988311552.00	1674979170902000015507456.00	0.00
1048	237721492853193236058	240682248481218679040	0.00	1674974713406094835712000.00	1674974713503999957401600.00	0.00
1057	237721492853193236058	240682248481218679040	0.00	1674745653345058165882880.00	1674745653443000063229952.00	0.00
1068	237721492853193236058	240682248481218679040	0.00	1674562229106202707492864.00	1674562229206000030711808.00	0.00
1100	237721492853193236058	240682248481218679040	0.00	1674562229106202707492864.00	1674562229206000030711808.00	0.00
1105	237721492853193236058	240682248481218679040	0.00	1673529886993635847700480.00	1673529887096999872823296.00	0.00
1134	237721492853193236058	240682248481218679040	0.00	1673529886993635847700480.00	1673529887096999872823296.00	0.00
1139	237721492853193236058	240682248481218679040	0.00	1672572166831250903924736.00	1672572166935000133926912.00	0.00
1148	237721492853193236058	240682248481218679040	0.00	1672110382545671263617024.00	1672110382650999967842304.00	0.00
1160	237721492853193236058	240682248481218679040	0.00	1670085824198000762683392.00	1670085824306000131260416.00	0.00
1167	237721492853193236058	240682248481218679040	0.00	1668626825681400575819776.00	1668626825792000010223616.00	0.00
1206	237721492853193236058	240682248481218679040	0.00	1667241647627376028286976.00	1667241647739000080826368.00	0.00
1213	237721492853193236058	240682248481218679040	0.00	1665927112887271648395264.00	1665927113000000044400640.00	0.00
1220	237721492853193236058	240682248481218679040	0.00	1664600848444867546710016.00	1664600848560000050659328.00	0.00
1226	237721492853193236058	240682248481218679040	0.00	1662833633565650448285696.00	1662833633682000038592512.00	0.00
1267	237721492853193236058	240682248481218679040	0.00	1662620141299780223500288.00	1662620141417000081555456.00	0.00
1281	237721492853193236058	240682248481218679040	0.00	1659927641808146431737856.00	1659927641930000022634496.00	0.00
1292	237721492853193236058	240682248481218679040	0.00	1659389330387762637963264.00	1659389330511999935709184.00	0.00
1304	237721492853193236058	240682248481218679040	0.00	1657629552008768471957504.00	1657629552134999976706048.00	0.00
1341	237721492853193236058	240682248481218679040	0.00	1655016622005396141244416.00	1655016622132999888044032.00	0.00
1352	237721492853193236058	240682248481218679040	0.00	1654887984472626183536640.00	1654887984601000071659520.00	0.00
1359	237721492853193236058	240682248481218679040	0.00	1653758915563638713483264.00	1653758915692999907213312.00	0.00
1370	237721492853193236058	240682248481218679040	0.00	1653758915563638713483264.00	1653758915692999907213312.00	0.00
1375	237721492853193236058	240682248481218679040	0.00	1650870889042469602721792.00	1650870889173000101298176.00	0.00
1411	237721492853193236058	240682248481218679040	0.00	1649397792988003257286656.00	1649397793119000028250112.00	0.00
1421	237721492853193236058	240682248481218679040	0.00	1649295560155657482010624.00	1649295560286999997841408.00	0.00
1428	237721492853193236058	240682248481218679040	0.00	1648538434705942992912384.00	1648538434838000083927040.00	0.00
1438	237721492853193236058	240682248481218679040	0.00	1646467688248043326406656.00	1646467688380999944634368.00	0.00
