#block	written	holding	exposure	total credit balance	total stablecoin balance
4770	0	0	0.00	9278682340038.00	9278682340038.00
4822	100001484	100001484	0.00	15794753201438.00	15794753201438.00
4844	500002861	500002861	0.00	22823849746392.00	22823849746392.00
4866	700005673	700005673	0.00	27736103710675.00	27736103710675.00
4891	900010119	900010119	0.00	30738063073633.00	30738063073633.00
4907	900014416	900014416	0.00	33268995351464.00	33268995351464.00
4949	600018383	600018383	0.00	34811130598719.00	34811130598719.00
4977	500020811	500020811	0.00	35926298363477.00	35926298363477.00
5004	500022480	500022480	0.00	36104276350871.00	36104276350871.00
5029	500023133	500023133	0.00	36464063390764.00	36464063390764.00
5068	800025471	800025471	0.00	37740756275203.00	37740756275203.00
5126	882033541	882033541	0.00	38394647133775.00	38394647133775.00
5163	945039610	945039610	0.00	38529329755580.00	38529329755580.00
5196	959042589	959042589	0.00	38725245942266.00	38725245942266.00
5228	915045754	915045754	0.00	39032401930302.00	39032401930302.00
5265	931047241	931047241	0.00	39041899405896.00	39041899405896.00
5300	971052688	971052688	0.00	39043633769445.00	39043633769445.00
5334	1014055877	1014055877	0.00	39052853293345.00	39052853293345.00
5370	986060213	986060213	0.00	39045011909879.00	39045011909879.00
5411	939064066	939064066	0.00	39025333909879.00	39025333909879.00
5446	833068416	833068416	0.00	39037212206777.00	39037212206777.00
5482	815073940	815073940	0.00	39012260206777.00	39012260206777.00
5516	792078372	792078372	0.00	38972383206777.00	38972383206777.00
5558	957081445	957081445	0.00	38993102726372.00	38993102726372.00
5591	948087119	948087119	0.00	38984847292308.00	38984847292308.00
5622	968091383	968091383	0.00	39007793743890.00	39007793743890.00
5658	985093212	985093212	0.00	39033696762069.00	39033696762069.00
5708	1128098565	1128098565	0.00	39024129505324.00	39024129505324.00
5748	1189101789	1189101789	0.00	38997499903264.00	38997499903264.00
5787	1288105557	1288105557	0.00	38991947983313.00	38991947983313.00
5825	1328109697	1328109697	0.00	38978134381163.00	38978134381163.00
5873	1379114122	1379114122	0.00	38950184022124.00	38950184022124.00
5913	1475117241	1475117241	0.00	38926505388485.00	38926505388485.00
5953	1584121245	1584121245	0.00	38904565443580.00	38904565443580.00
5993	1560126436	1560126436	0.00	38880369537317.00	38880369537317.00
6039	1484132654	1484132654	0.00	38864721784519.00	38864721784519.00
6078	1485136485	1485136485	0.00	38857987801809.00	38857987801809.00
6116	1507141538	1507141538	0.00	38827739002316.00	38827739002316.00
6156	1536146546	1536146546	0.00	38798287323158.00	38798287323158.00
6198	1555149949	1555149949	0.00	38784744348443.00	38784744348443.00
6235	1591155155	1591155155	0.00	38762158223863.00	38762158223863.00
6272	1657161176	1657161176	0.00	38730663505035.00	38730663505035.00
6307	1592168192	1592168192	0.00	38714718183590.00	38714718183590.00
6353	1540172555	1540172555	0.00	38697127183590.00	38697127183590.00
6388	1528179552	1528179552	0.00	38681265183590.00	38681265183590.00
6422	1428181866	1428181866	0.00	38654293183590.00	38654293183590.00
6455	1387184957	1387184957	0.00	38633013183590.00	38633013183590.00
6500	1278189171	1278189171	0.00	38607067183590.00	38607067183590.00
6535	1238195069	1238195069	0.00	38580704183590.00	38580704183590.00
6565	1216199838	1216199838	0.00	38566418183590.00	38566418183590.00
6601	1116204359	1116204359	0.00	38544772183590.00	38544772183590.00
6645	1069205537	1069205537	0.00	38530651183590.00	38530651183590.00
6677	1035213657	1035213657	0.00	38510094183590.00	38510094183590.00
6710	1035216628	1035216628	0.00	38480705183590.00	38480705183590.00
6747	991219020	991219020	0.00	38451651183590.00	38451651183590.00
6794	990227174	990227174	0.00	38424225183590.00	38424225183590.00
6827	946232422	946232422	0.00	38395845183590.00	38395845183590.00
6860	904234406	904234406	0.00	38366420183590.00	38366420183590.00
6891	872239200	872239200	0.00	38352286183590.00	38352286183590.00
6933	864242371	864242371	0.00	38343713080606.00	38343713080606.00
6964	914246239	914246239	0.00	38323255324646.00	38323255324646.00
6999	975251076	975251076	0.00	38288904757531.00	38288904757531.00
7036	1103254262	1103254262	0.00	38284584027829.00	38284584027829.00
7080	1134258497	1134258497	0.00	38260046324021.00	38260046324021.00
7113	1207263385	1207263385	0.00	38237234069104.00	38237234069104.00
7145	1280268897	1280268897	0.00	38223034104746.00	38223034104746.00
7183	1293274092	1293274092	0.00	38200163488103.00	38200163488103.00
7227	1338277297	1338277297	0.00	38162670351022.00	38162670351022.00
7262	1411281296	1411281296	0.00	38145896501656.00	38145896501656.00
7296	1478285584	1478285584	0.00	38117520678101.00	38117520678101.00
7329	1470291829	1470291829	0.00	38107896152082.00	38107896152082.00
7368	1447294153	1447294153	0.00	38081230585119.00	38081230585119.00
7400	1557297381	1557297381	0.00	38058759342207.00	38058759342207.00
7436	1607302060	1607302060	0.00	38022824027515.00	38022824027515.00
7471	1583306780	1583306780	0.00	37998756134306.00	37998756134306.00
7557	1636318264	1636318264	0.00	37973324499762.00	37973324499762.00
7596	1728324183	1728324183	0.00	37977040721074.00	37977040721074.00
7633	1766327842	1766327842	0.00	37957151880498.00	37957151880498.00
7671	1899335092	1899335092	0.00	37956379288457.00	37956379288457.00
7709	1960342438	1960342438	0.00	37949098347357.00	37949098347357.00
7748	1861346547	1861346547	0.00	37917216347357.00	37917216347357.00
7798	1909351618	1909351618	0.00	37919973226008.00	37919973226008.00
7837	1991356885	1991356885	0.00	37929054892548.00	37929054892548.00
7876	1904362119	1904362119	0.00	37912701028134.00	37912701028134.00
7915	2008366228	2008366228	0.00	37889633750490.00	37889633750490.00
7963	1966371431	1966371431	0.00	37873345750490.00	37873345750490.00
8042	1856377915	1856377915	0.00	37801668750490.00	37801668750490.00
8082	1856379503	1856379503	0.00	37775945750490.00	37775945750490.00
8142	1847385487	1847385487	0.00	37759653750490.00	37759653750490.00
8182	1847390054	1847390054	0.00	37740277750490.00	37740277750490.00
8221	1817392143	1817392143	0.00	37719577750490.00	37719577750490.00
8261	1809396730	1809396730	0.00	37705291750490.00	37705291750490.00
8311	1923403147	1923403147	0.00	37711220382821.00	37711220382821.00
8350	2159407660	2159407660	0.00	37736841927377.00	37736841927377.00
8390	2354413914	2354413914	0.00	37760312466554.00	37760312466554.00
8428	2363418191	2363418191	0.00	37738551585213.00	37738551585213.00
8477	2353423335	2353423335	0.00	37733115868692.00	37733115868692.00
8515	2331427461	2331427461	0.00	37708215458294.00	37708215458294.00
