#block	written	holding	exposure	total CB	total SB	total debt
170	0	0	0.00	217563795324000001851392.00	217563795324000001851392.00	0.00
203	0	0	0.00	550564623011000029806592.00	550564623011000029806592.00	0.00
242	0	0	0.00	1025942962198245850218496.00	1025942962199000019632128.00	0.00
288	5813253511942091776	5813253511942091776	0.00	1241060922464245901164544.00	1241060922464999936360448.00	0.00
313	6858584126987853056	6858584126987853056	0.00	1293652396300921718439936.00	1293652396305000058322944.00	0.00
321	10378814740885067008	10378814740885067008	0.00	1291400052555993088786432.00	1291400052560999946911744.00	0.00
330	10378814740885067008	10378814740885067008	0.00	1284649446143311367634944.00	1284649446149999973892096.00	0.00
368	10378814740885067008	10378814740885067008	0.00	1384754370414118927597568.00	1384754370421999924150272.00	0.00
374	12371504609410243328	12371504609410243328	0.00	1381702204809596645670912.00	1381702204818000017620992.00	0.00
378	16933868341756482304	16933868341756482304	0.00	1378637906970223656828928.00	1378637906978999885627392.00	0.00
383	16933868341756482304	16933868341756482304	0.00	1378012840481133825097728.00	1378012840489999979773952.00	0.00
395	16933868341756482304	16933868341756482304	0.00	1369229776323627735580672.00	1369229776334000081600512.00	0.00
405	22814911564838606592	22814911564838606592	0.00	1367855374410126135918592.00	1367855374420999919370240.00	0.00
440	22814911564838606592	22814911564838606592	0.00	1407404712340733122576384.00	1407404712353000086044672.00	0.00
446	35428849212782872320	35428849212782872320	0.00	1404720357254624861749248.00	1404720357267999926779904.00	0.00
452	35428849212782872320	35428849212782872320	0.00	1403040835224323961651200.00	1403040835239000133337088.00	0.00
456	37651903126962830848	37651903126962830848	0.00	1403040835224323961651200.00	1403040835239000133337088.00	0.00
469	37651903126962830848	37651903126962830848	0.00	1396776886847590344163328.00	1396776886864999994097664.00	0.00
477	37651903126962830848	37651903126962830848	0.00	1395103527587421339254784.00	1395103527606000025600000.00	0.00
486	37651903126962830848	37651903126962830848	0.00	1393392427145042977619968.00	1393392427163999889522688.00	0.00
494	37651903126962830848	37651903126962830848	0.00	1393187257106140084830208.00	1393187257126000013606912.00	0.00
502	37651903126962830848	37651903126962830848	0.00	1391570467539692132761600.00	1391570467561000002387968.00	0.00
512	38826650404360163840	38826650404360163840	0.00	1381993472153728992673792.00	1381993472176999930789888.00	0.00
545	40566914717012374784	40566914717012374784	0.00	1380735452095861839888384.00	1380735452120000092962816.00	0.00
553	40566914717012374784	40566914717012374784	0.00	1378829610904589485211648.00	1378829610928999931838464.00	0.00
558	40566914717012374784	40566914717012374784	0.00	1373591888209039539044352.00	1373591888234999931994112.00	0.00
564	40566914717012374784	40566914717012374784	0.00	1367593810896935953891328.00	1367593810923999885000704.00	0.00
575	49996198902260602112	49996198902260602112	0.00	1361967090976199742062592.00	1361967091004999913701376.00	0.00
585	55180344764939717888	55180344764939717888	0.00	1359026402136024244289536.00	1359026402165999894790144.00	0.00
587	55180344764939717888	55180344764939717888	0.00	1357855020906229432057856.00	1357855020936999919943680.00	0.00
595	55180344764939717888	55180344764939717888	0.00	1357855020906229432057856.00	1357855020936999919943680.00	0.00
630	55180344764939717888	55180344764939717888	0.00	1353872111676333964132352.00	1353872111707999952699392.00	0.00
635	55180344764939717888	55180344764939717888	0.00	1353404366439835366326272.00	1353404366473000030044160.00	0.00
639	55180344764939717888	55180344764939717888	0.00	1353310273883437889748992.00	1353310273917000106377216.00	0.00
647	55180344764939717888	55180344764939717888	0.00	1348549601590068612431872.00	1348549601623999927812096.00	0.00
658	55180344764939717888	55180344764939717888	0.00	1342786013044902375456768.00	1342786013080000042893312.00	0.00
668	55180344764939717888	55180344764939717888	0.00	1340437108019801695977472.00	1340437108055999948783616.00	0.00
677	55180344764939717888	55180344764939717888	0.00	1337831845635891610517504.00	1337831845673000127954944.00	0.00
687	55180344764939717888	55180344764939717888	0.00	1336221142073900105990144.00	1336221142112999877640192.00	0.00
696	55180344764939717888	55180344764939717888	0.00	1336221142073900105990144.00	1336221142112999877640192.00	0.00
704	55180344764939717888	55180344764939717888	0.00	1335950121143146641358848.00	1335950121182999911333888.00	0.00
707	77484686803734920448	77484686803734920448	0.00	1335906322184695707598848.00	1335906322224999949139968.00	0.00
743	77484686803734920448	77484686803734920448	0.00	1334412976614374947946496.00	1334412976655999891931136.00	0.00
749	82823923301755298048	82823923301755298048	0.00	1332716028657190765068288.00	1332716028700999968358400.00	0.00
